1102
9 36
5 6 506
0 2 955
1 6 670
3 7 543
2 8 198
2 7 356
1 2 349
1 1 623
1 5 300
4 6 747
0 7 341
5 5 312
3 5 606
2 3 662
2 6 879
6 8 321
3 4 445
4 4 523
6 7 709
4 5 283
1 3 925
1 4 63
5 7 601
0 1 453
2 5 380
0 4 469
5 8 974
0 0 882
7 8 934
6 6 661
0 6 200
3 8 900
4 8 960
2 4 814
0 8 191
1 8 927
4 6
0 2 373
1 3 256
0 1 600
2 3 905
0 0 812
0 3 668
8 7
4 6 337
0 2 156
1 4 5
1 2 770
6 7 777
5 6 256
3 6 143
9 36
2 3 621
5 7 988
0 3 339
1 7 771
4 8 857
0 2 607
1 8 850
6 7 206
5 5 218
7 8 946
6 6 874
8 8 874
5 6 290
2 6 608
2 2 758
2 7 472
3 4 101
3 6 619
0 6 26
1 6 75
1 4 158
3 5 494
0 5 271
6 8 418
3 3 570
4 7 623
0 8 174
4 6 432
3 8 683
0 0 293
2 8 58
2 4 522
2 5 575
1 2 948
1 3 232
4 5 538
2 1
0 1 797
4 5
0 0 500
0 1 128
1 3 237
1 2 819
0 2 564
4 6
1 3 236
0 3 692
1 2 944
0 1 329
2 2 292
2 3 19
2 1
0 1 251
10 45
2 7 284
0 9 128
4 6 422
7 7 335
8 9 335
0 5 160
3 9 958
1 7 762
4 8 973
6 7 717
3 3 851
7 9 483
1 9 218
2 3 174
3 6 507
1 2 365
0 8 264
2 9 173
7 8 538
4 7 829
9 9 281
1 5 857
0 1 342
2 4 353
0 6 512
0 7 518
0 3 84
0 0 113
3 7 507
1 4 668
5 9 490
3 4 155
5 7 876
5 6 142
2 8 539
6 8 637
1 3 957
0 4 761
5 8 815
2 5 315
2 2 887
1 6 40
4 5 536
3 8 622
1 8 791
10 45
4 9 953
1 5 473
2 7 340
0 3 884
5 8 662
1 6 543
6 9 340
3 3 345
4 6 331
1 7 295
9 9 758
1 2 861
0 2 293
3 9 877
1 4 991
3 7 636
7 8 599
4 8 742
4 5 571
5 9 541
2 3 802
6 8 801
3 4 610
5 5 441
7 9 764
3 6 305
6 6 607
0 1 524
4 7 350
1 8 531
2 8 705
0 0 987
4 4 626
0 8 592
8 9 408
3 8 132
1 3 920
2 9 54
1 9 428
0 9 820
0 6 582
0 5 769
2 5 640
2 4 439
5 6 395
7 21
0 5 614
2 6 301
1 6 787
6 6 764
4 5 509
2 5 417
1 1 983
0 3 541
5 6 827
4 6 566
5 5 500
3 4 547
3 5 854
1 5 304
4 4 843
3 6 535
0 2 811
1 2 870
0 6 816
0 4 697
0 1 383
6 15
1 5 412
5 5 588
3 4 837
0 5 440
2 3 621
1 3 372
1 1 419
1 4 535
0 2 765
0 3 698
4 5 68
2 4 336
0 1 491
3 5 133
0 4 530
10 24
0 8 900
2 5 485
3 7 662
0 9 781
1 5 924
0 1 1
2 7 1
3 5 953
0 3 505
2 2 760
2 8 526
3 9 118
3 6 637
6 8 561
7 8 615
5 8 938
4 7 749
5 7 621
3 4 864
3 3 833
6 9 5
8 8 459
5 6 128
6 7 369
4 6
2 3 140
1 1 471
0 2 393
0 1 543
1 2 534
0 0 744
6 5
2 4 987
1 3 841
0 4 52
2 5 957
1 4 655
9 36
2 8 705
2 6 296
2 4 415
0 6 365
0 2 252
5 6 211
3 5 739
6 8 194
7 8 627
4 5 946
4 4 395
2 2 807
0 7 457
4 7 796
6 7 785
4 6 861
3 7 883
5 8 574
1 1 696
0 1 506
1 2 367
7 7 864
3 6 791
1 6 291
0 8 162
2 7 94
2 5 602
3 4 145
3 8 652
1 5 589
1 4 448
5 7 276
1 3 957
0 3 330
1 8 843
4 8 950
2 1
0 1 812
7 21
1 2 329
0 3 952
0 6 719
1 6 424
3 4 515
1 4 183
0 2 808
0 1 130
1 1 295
2 5 745
4 5 79
1 3 127
2 4 761
2 2 187
5 6 185
3 3 883
4 6 640
2 3 849
2 6 445
3 6 56
1 5 486
4 6
2 3 112
3 3 329
0 1 187
0 3 56
0 2 684
1 2 590
7 21
1 5 540
0 6 583
2 4 273
4 5 987
1 4 320
2 2 819
0 0 658
3 5 876
0 1 216
